Math,Physics,Chemistry,Biology,CS,Commerce,Recommended_Stream
70,84,69,49,63,95,Commerce
43,83,54,45,30,47,Arts
47,65,84,89,88,78,Arts
50,50,31,76,30,80,Commerce
34,33,80,44,92,44,Arts
52,79,40,97,55,81,Arts
77,56,36,32,51,33,Arts
75,68,41,75,87,67,Commerce
54,84,49,56,37,55,Arts
64,95,44,50,80,69,Commerce
73,79,42,93,64,82,Arts
52,36,66,88,72,91,Commerce
75,87,88,54,51,62,Arts
68,33,73,63,71,61,Commerce
44,54,80,60,93,56,Commerce
95,93,92,49,53,87,Engineering
36,53,54,31,79,85,Arts
75,46,49,37,73,98,Commerce
66,96,50,47,43,40,Arts
78,31,54,62,59,42,Arts
46,71,41,84,98,51,Commerce
66,87,36,43,86,36,Arts
67,90,47,88,31,87,Commerce
34,30,30,65,34,70,Commerce
100,93,100,76,34,65,Engineering
59,65,30,92,53,70,Arts
48,97,81,97,91,64,Medical
69,55,30,89,65,45,Arts
82,63,37,39,100,58,Arts
92,96,62,88,38,79,Engineering
94,48,79,33,48,100,Commerce
45,76,61,45,58,39,Arts
64,55,59,33,31,73,Arts
81,94,94,84,82,93,Engineering
50,39,79,30,64,78,Commerce
64,86,35,98,79,58,Arts
69,73,61,33,92,99,Commerce
48,74,67,71,78,34,Arts
67,81,86,30,37,87,Commerce
90,46,99,46,99,79,Commerce
37,53,64,67,72,37,Arts
91,36,52,81,59,43,Arts
51,31,78,53,60,92,Commerce
59,61,56,72,100,86,Arts
86,55,41,77,87,36,Arts
75,54,94,54,91,99,Commerce
90,69,71,42,35,75,Commerce
89,75,80,62,88,55,Arts
81,47,68,41,81,33,Arts
32,34,33,93,85,65,Arts
64,100,82,52,71,74,Arts
34,76,89,43,57,35,Commerce
82,41,81,79,98,99,Commerce
75,78,55,65,64,59,Commerce
83,30,37,56,53,41,Arts
54,90,90,53,74,77,Arts
89,48,56,87,35,94,Commerce
89,55,45,78,61,35,Commerce
65,49,85,95,62,48,Commerce
55,32,69,82,41,95,Commerce
88,73,33,61,69,62,Arts
66,97,67,63,54,41,Commerce
99,66,49,72,64,70,Arts
74,81,68,88,91,48,Arts
41,85,92,63,75,41,Commerce
47,63,99,95,59,92,Arts
80,83,83,53,46,92,Commerce
58,84,41,34,87,37,Arts
85,77,74,33,41,59,Commerce
89,87,70,30,84,69,Arts
33,100,95,86,79,55,Medical
74,92,56,40,41,69,Commerce
92,35,59,42,76,73,Commerce
96,66,79,58,30,97,Commerce
71,77,66,99,53,41,Arts
47,53,50,44,80,33,Commerce
37,74,100,63,39,86,Commerce
54,37,84,60,46,40,Commerce
74,36,79,69,60,55,Commerce
52,37,70,67,60,88,Commerce
77,70,73,94,95,54,Arts
77,78,31,52,35,87,Commerce
92,47,45,43,88,51,Commerce
67,79,65,72,65,98,Commerce
85,95,81,64,99,66,Engineering
49,68,41,86,94,100,Commerce
71,50,74,84,69,99,Commerce
95,32,71,61,85,84,Commerce
44,39,70,95,34,54,Commerce
31,61,43,45,92,39,Commerce
38,85,74,35,89,62,Commerce
57,88,64,49,53,51,Arts
67,90,88,48,58,58,Arts
84,94,41,90,79,56,Arts
96,49,66,93,61,53,Arts
42,38,88,74,37,60,Commerce
77,46,33,64,79,59,Arts
93,87,86,32,71,77,Engineering
98,81,70,92,96,35,Engineering
83,71,49,65,63,96,Commerce
92,57,49,88,35,74,Commerce
78,60,73,82,71,86,Commerce
62,47,89,84,32,89,Commerce
36,53,74,66,97,38,Commerce
85,85,44,33,60,92,Commerce
81,35,86,55,32,97,Commerce
69,55,70,45,72,46,Arts
100,77,90,44,51,95,Engineering
48,82,84,37,53,58,Commerce
81,79,69,55,83,94,Commerce
66,83,77,51,90,100,Commerce
37,33,59,61,68,67,Arts
74,49,78,76,86,79,Arts
99,92,55,59,33,42,Engineering
69,87,56,82,42,66,Commerce
63,65,40,89,41,33,Arts
81,95,32,41,43,38,Commerce
66,39,37,43,69,46,Commerce
68,36,85,57,42,96,Commerce
40,96,47,47,97,54,Arts
61,73,57,83,95,88,Arts
57,78,43,93,86,90,Arts
38,80,55,41,32,87,Commerce
44,48,96,35,95,49,Commerce
87,61,91,54,99,66,Arts
42,69,63,37,34,30,Commerce
100,57,79,65,61,99,Commerce
39,73,42,52,77,47,Arts
55,91,82,55,99,77,Arts
50,38,36,88,91,80,Commerce
65,87,54,65,97,46,Commerce
91,74,70,79,100,67,Arts
46,99,50,72,59,95,Arts
33,90,78,62,39,91,Arts
53,88,72,54,63,91,Arts
45,82,87,87,39,91,Arts
41,81,48,88,49,89,Commerce
43,82,55,36,89,67,Commerce
96,75,68,94,76,89,Commerce
83,56,62,82,98,70,Arts
85,83,41,88,71,84,Commerce
70,96,50,65,97,46,Arts
54,80,45,52,75,78,Arts
75,84,44,85,39,30,Arts
48,45,33,37,100,31,Commerce
80,70,50,89,49,47,Commerce
72,53,42,47,48,50,Commerce
75,89,98,33,34,79,Arts
90,70,80,78,58,45,Arts
63,44,80,44,100,50,Arts
56,70,30,47,88,70,Commerce
59,65,79,80,99,93,Commerce
38,95,33,49,95,39,Commerce
48,84,39,76,50,75,Arts
32,38,54,50,78,94,Commerce
30,87,85,97,69,90,Medical
65,83,56,92,47,57,Commerce
98,35,75,78,66,49,Commerce
43,53,80,82,98,77,Arts
66,51,88,66,58,52,Arts
100,84,100,73,35,43,Engineering
79,39,73,75,91,74,Arts
58,44,43,30,83,49,Commerce
94,90,54,81,39,40,Commerce
43,33,95,99,35,89,Commerce
33,83,63,69,32,83,Arts
55,40,56,64,35,58,Commerce
54,76,93,91,75,79,Arts
86,61,31,65,55,92,Commerce
47,63,87,92,75,45,Commerce
97,64,44,30,47,69,Commerce
90,38,40,94,41,100,Commerce
32,85,88,66,35,67,Commerce
75,30,70,91,95,54,Arts
58,78,35,98,64,78,Commerce
92,30,42,88,46,99,Commerce
70,53,62,76,34,77,Commerce
41,33,48,35,64,34,Commerce
30,100,49,41,50,50,Commerce
33,59,72,48,64,76,Commerce
54,64,31,42,50,91,Commerce
85,94,68,77,70,78,Commerce
81,43,85,94,70,42,Commerce
42,55,61,85,51,81,Arts
100,67,41,68,57,90,Commerce
34,53,72,33,96,100,Arts
87,61,77,85,92,74,Arts
36,94,36,45,80,80,Arts
93,55,99,76,35,52,Engineering
68,33,75,91,46,39,Arts
84,31,84,58,53,76,Commerce
55,85,68,52,85,88,Arts
98,95,73,37,84,95,Engineering
74,42,56,87,56,77,Commerce
43,47,95,84,72,64,Commerce
91,64,94,48,84,50,Engineering
49,37,50,85,92,40,Commerce
44,32,82,45,70,45,Commerce
32,36,62,71,59,76,Commerce
93,85,69,82,80,100,Engineering
69,54,61,96,44,83,Arts
31,70,80,84,97,66,Arts
70,68,45,74,99,54,Arts
49,77,71,54,62,64,Commerce
96,65,42,56,95,100,Commerce
93,90,95,89,71,90,Engineering
77,54,71,96,94,55,Arts
85,70,79,87,46,57,Arts
32,69,99,95,98,98,Arts
43,75,53,93,63,74,Commerce
68,62,96,53,98,87,Commerce
91,52,75,86,93,32,Arts
54,85,49,36,39,91,Arts
94,59,32,84,36,55,Arts
91,65,70,57,55,100,Commerce
90,78,58,47,89,85,Commerce
99,64,47,65,32,45,Commerce
65,87,54,76,62,39,Commerce
87,83,79,92,63,72,Arts
52,41,43,83,47,99,Commerce
68,46,77,87,90,56,Arts
54,60,69,40,83,52,Commerce
93,83,96,70,45,70,Engineering
100,37,54,49,41,37,Arts
53,32,67,62,90,40,Arts
99,52,95,36,71,82,Engineering
88,78,83,83,98,85,Commerce
82,48,53,35,66,63,Arts
62,57,78,53,49,89,Commerce
36,46,34,63,35,60,Commerce
60,82,59,35,97,72,Commerce
98,84,44,93,91,42,Arts
73,75,39,40,52,67,Commerce
95,42,48,99,74,93,Commerce
77,37,89,43,44,92,Commerce
91,80,49,100,88,65,Arts
99,57,44,46,35,72,Commerce
95,55,47,66,82,73,Commerce
32,61,45,76,70,86,Arts
94,64,100,63,33,38,Engineering
39,94,36,56,40,75,Arts
100,89,43,49,67,30,Commerce
54,49,51,38,33,55,Commerce
90,54,66,80,63,86,Commerce
78,91,82,44,79,98,Commerce
30,96,100,39,47,83,Commerce
66,76,89,70,56,97,Commerce
44,96,48,37,74,48,Commerce
93,93,96,95,37,96,Engineering
96,67,80,40,56,51,Arts
43,67,42,30,92,39,Commerce
94,78,55,65,46,98,Commerce
56,73,93,76,97,94,Commerce
81,92,60,50,30,71,Arts
36,69,88,85,39,54,Arts
61,39,65,40,60,30,Arts
73,73,51,39,30,74,Commerce
34,42,31,32,94,62,Arts
59,43,77,93,91,81,Arts
51,90,85,98,93,91,Medical
42,72,92,42,42,30,Commerce
93,51,97,77,73,75,Commerce
73,33,84,38,60,31,Commerce
67,35,64,84,65,90,Commerce
37,55,65,58,55,49,Arts
87,61,96,92,74,56,Arts
58,59,61,59,82,66,Arts
39,82,78,48,71,93,Arts
53,93,68,51,66,74,Arts
45,63,66,77,39,61,Arts
36,77,37,78,53,67,Arts
37,33,73,96,32,75,Commerce
39,38,34,61,91,96,Commerce
94,89,96,98,58,34,Engineering
34,69,82,78,30,44,Commerce
94,82,35,81,76,87,Commerce
88,93,88,97,87,46,Engineering
64,91,80,77,66,59,Arts
35,65,60,45,92,70,Commerce
72,86,64,63,49,43,Arts
56,81,81,80,99,59,Arts
71,92,64,77,60,84,Arts
95,78,40,35,60,98,Commerce
73,31,97,53,34,86,Commerce
57,41,42,42,67,48,Arts
72,45,76,72,84,79,Arts
38,67,45,88,48,88,Commerce
61,48,35,55,54,83,Commerce
42,53,73,41,62,41,Arts
57,78,33,46,73,89,Arts
62,67,93,86,37,35,Commerce
43,54,42,98,45,44,Commerce
99,49,71,97,80,65,Arts
94,71,65,92,87,60,Arts
67,99,59,31,59,62,Commerce
33,79,77,35,65,37,Commerce
77,41,54,72,64,47,Commerce
94,80,51,45,36,47,Commerce
92,75,55,45,53,69,Arts
70,86,61,43,48,63,Commerce
37,53,32,93,72,97,Commerce
83,56,96,96,36,45,Arts
97,33,44,61,50,94,Commerce
59,59,76,81,80,37,Arts
97,56,65,31,68,99,Commerce
47,31,49,70,43,61,Arts
38,61,64,57,40,80,Arts
32,44,97,54,79,84,Commerce
65,97,85,95,31,56,Medical
74,80,65,80,41,45,Arts
47,63,66,84,45,76,Arts
68,62,95,79,86,95,Commerce
44,63,30,50,96,60,Commerce
87,63,94,87,71,60,Arts
75,46,88,93,94,70,Arts
64,67,81,87,44,34,Arts
30,53,85,72,95,95,Arts
41,78,62,80,48,81,Commerce
60,70,49,71,67,74,Arts
92,37,61,92,41,63,Commerce
59,57,31,66,93,46,Commerce
83,50,82,81,61,32,Arts
63,33,76,75,72,55,Arts
39,61,62,64,50,77,Commerce
68,61,71,35,74,83,Commerce
64,64,41,48,45,62,Arts
41,78,70,39,76,80,Arts
63,54,49,97,33,43,Arts
47,38,39,53,36,78,Commerce
84,78,36,91,61,34,Arts
94,97,33,86,89,85,Commerce
30,89,54,53,36,64,Arts
61,65,49,74,83,34,Arts
63,70,58,86,69,57,Commerce
68,36,35,46,55,47,Arts
66,40,88,52,33,33,Commerce
82,42,94,48,94,81,Commerce
85,38,64,44,69,57,Commerce
100,79,69,59,91,85,Engineering
96,63,72,80,39,36,Commerce
50,40,36,42,89,35,Commerce
100,37,57,70,91,94,Commerce
100,92,69,39,46,92,Engineering
92,45,99,47,30,99,Commerce
65,55,69,83,42,88,Commerce
73,66,55,81,47,95,Commerce
84,51,46,47,63,63,Arts
43,30,93,54,50,65,Commerce
89,90,92,95,71,53,Engineering
72,90,84,75,40,85,Commerce
32,60,66,90,62,56,Arts
82,44,49,57,77,69,Commerce
78,94,36,99,72,64,Arts
71,94,51,64,90,90,Commerce
39,33,38,91,40,48,Commerce
62,78,50,56,69,53,Arts
74,32,70,84,95,87,Commerce
92,88,73,70,71,80,Engineering
66,85,84,51,83,46,Arts
66,44,85,52,38,92,Commerce
47,38,54,54,32,37,Commerce
61,39,58,45,77,40,Arts
41,95,82,33,85,75,Arts
98,67,98,83,59,71,Engineering
35,37,65,73,59,64,Arts
95,70,62,49,100,37,Commerce
40,92,30,54,74,93,Arts
46,77,39,100,69,65,Commerce
54,30,91,35,97,84,Commerce
33,56,58,31,99,32,Arts
50,57,63,61,91,100,Commerce
55,99,91,31,37,39,Commerce
32,70,32,83,46,86,Arts
98,35,51,49,55,67,Arts
50,95,54,65,48,63,Arts
93,60,81,39,92,31,Arts
30,69,66,83,59,60,Commerce
50,42,62,35,62,45,Arts
61,71,33,49,78,35,Commerce
95,87,38,79,91,64,Arts
80,52,55,90,80,43,Commerce
65,47,90,83,97,70,Arts
61,89,50,53,45,36,Commerce
53,49,65,65,59,34,Arts
66,32,77,88,83,85,Arts
74,65,59,58,63,52,Commerce
74,64,71,79,80,46,Commerce
41,40,87,63,87,46,Commerce
63,66,45,76,61,47,Commerce
85,93,93,84,47,49,Engineering
38,31,78,32,92,87,Commerce
75,99,69,82,55,38,Commerce
45,35,76,81,52,92,Commerce
51,44,79,39,99,86,Arts
35,71,76,81,81,94,Arts
67,82,63,82,65,100,Commerce
52,54,36,96,91,95,Commerce
82,42,33,91,47,46,Commerce
47,48,71,82,35,77,Arts
43,86,55,90,48,54,Arts
62,77,82,59,31,34,Arts
88,99,40,87,48,65,Arts
46,97,32,34,80,80,Commerce
39,65,69,35,69,88,Commerce
89,90,55,34,33,85,Commerce
51,98,67,57,66,81,Arts
34,45,75,89,61,89,Arts
55,60,73,51,56,48,Arts
62,52,37,61,32,40,Commerce
82,74,87,74,49,99,Commerce
34,76,32,77,49,91,Commerce
93,77,86,97,37,66,Engineering
91,64,96,70,97,96,Engineering
94,85,41,99,47,47,Commerce
97,43,41,39,38,91,Commerce
56,89,79,92,69,86,Arts
39,100,49,41,69,69,Arts
81,67,57,57,51,72,Arts
95,80,32,44,72,37,Commerce
79,43,39,84,100,33,Arts
57,60,72,71,87,40,Arts
58,32,98,76,51,86,Commerce
61,70,42,61,91,47,Arts
43,88,85,99,52,70,Medical
51,33,85,84,31,100,Commerce
70,65,90,79,97,93,Commerce
33,64,34,66,73,86,Arts
61,93,30,53,39,60,Commerce
36,87,55,57,45,37,Commerce
69,82,98,71,88,56,Arts
94,73,32,37,66,85,Commerce
36,51,40,76,70,34,Arts
87,90,33,68,93,57,Arts
63,100,74,39,68,99,Commerce
36,81,63,99,98,96,Arts
38,65,40,48,95,90,Commerce
76,39,98,45,44,72,Arts
30,67,68,35,45,63,Commerce
85,39,37,40,82,86,Commerce
32,38,80,55,89,31,Arts
85,60,86,81,96,39,Arts
90,85,60,52,99,41,Arts
72,58,41,59,32,51,Commerce
48,31,48,63,38,63,Commerce
60,79,66,66,96,39,Arts
83,96,99,53,63,47,Engineering
52,40,38,33,84,64,Arts
71,60,46,88,89,93,Commerce
36,85,89,63,74,61,Arts
52,34,51,34,88,98,Commerce
87,70,33,69,77,36,Arts
36,73,65,82,89,53,Arts
99,57,72,63,68,72,Commerce
55,74,38,77,30,43,Commerce
38,90,90,56,94,40,Commerce
80,37,98,71,90,76,Arts
72,98,86,60,80,88,Commerce
79,93,43,98,80,46,Arts
62,70,36,75,57,81,Commerce
63,70,54,38,50,100,Commerce
84,82,30,75,66,95,Commerce
34,35,73,83,67,75,Arts
82,76,99,33,65,70,Arts
48,39,41,53,76,82,Commerce
80,95,43,88,31,48,Commerce
71,69,32,61,96,71,Commerce
88,40,69,32,96,72,Commerce
36,48,32,41,77,41,Commerce
97,97,95,37,83,84,Engineering
60,42,39,95,48,79,Commerce
30,78,81,66,98,84,Arts
30,67,99,46,47,47,Arts
80,47,100,100,70,89,Commerce
54,35,50,57,59,92,Arts
49,88,38,58,87,86,Arts
32,41,49,30,85,82,Commerce
53,90,62,71,60,65,Arts
39,68,89,56,45,35,Commerce
64,69,87,81,74,45,Arts
65,36,43,40,75,37,Arts
56,30,63,51,92,56,Arts
75,86,97,73,54,80,Arts
90,67,82,74,37,76,Commerce
82,75,60,33,66,39,Commerce
57,59,86,96,32,45,Arts
37,51,85,36,43,58,Arts
97,50,50,79,58,95,Commerce
39,75,78,40,44,84,Commerce
67,64,38,66,32,66,Arts
32,64,48,76,71,39,Commerce
56,45,85,77,79,39,Arts
67,57,63,56,83,99,Commerce
64,96,82,79,78,68,Arts
35,44,89,74,69,87,Arts
44,48,38,76,60,67,Commerce
31,90,40,57,100,44,Arts
98,85,88,55,44,86,Engineering
86,94,32,100,57,69,Arts
80,95,52,45,42,57,Commerce
32,93,98,41,98,99,Arts
51,95,90,88,78,95,Medical
71,54,75,91,99,86,Commerce
51,58,33,63,83,90,Arts
34,65,39,59,65,36,Arts
90,50,90,67,79,72,Arts
76,53,42,80,100,85,Commerce
89,87,69,77,33,47,Arts
98,41,84,93,64,39,Arts
73,88,92,42,48,53,Arts
61,69,86,41,75,54,Commerce
62,77,41,58,95,77,Commerce
36,55,43,51,58,65,Commerce
46,81,97,70,75,46,Arts
35,91,38,52,66,95,Commerce
73,61,48,68,70,58,Commerce
39,31,100,78,48,52,Commerce
73,62,40,51,73,87,Commerce
89,74,49,49,79,46,Arts
54,98,81,56,49,73,Commerce
78,38,40,65,58,76,Commerce
45,78,97,90,30,80,Arts
91,96,80,65,61,50,Engineering
34,96,70,41,94,46,Arts
72,82,78,55,73,61,Arts
90,94,90,43,96,56,Engineering
46,83,71,62,78,30,Arts
68,55,90,60,67,91,Commerce
75,100,80,44,64,52,Commerce
94,55,97,45,65,31,Engineering
61,78,55,73,76,75,Arts
98,82,75,63,98,94,Engineering
41,41,30,43,81,34,Arts
73,100,55,53,51,97,Commerce
92,48,85,50,98,38,Arts
61,42,83,56,79,44,Commerce
36,46,76,85,47,47,Arts
32,90,68,65,98,47,Arts
56,88,42,92,60,99,Commerce
79,78,82,40,36,67,Commerce
70,46,100,46,53,64,Arts
41,35,31,55,92,64,Arts
58,98,33,68,40,65,Commerce
90,65,47,49,83,77,Commerce
88,54,52,48,52,35,Arts
34,62,56,48,54,41,Arts
75,93,84,60,85,82,Arts
70,82,73,40,89,72,Arts
65,94,60,99,34,56,Arts
58,70,98,43,53,79,Arts
78,88,85,97,32,75,Medical
86,51,70,87,72,88,Commerce
43,70,43,97,98,83,Arts
75,38,94,62,77,100,Commerce
76,97,85,31,62,50,Commerce
30,50,35,73,31,55,Arts
46,59,91,69,50,75,Commerce
49,51,87,39,37,86,Commerce
67,80,83,97,41,42,Commerce
92,51,87,46,71,97,Commerce
48,31,60,82,76,52,Arts
62,97,56,78,30,73,Commerce
99,80,30,86,59,98,Commerce
36,100,87,44,73,51,Arts
51,50,98,94,82,63,Arts
100,34,86,75,61,33,Arts
67,54,73,36,30,33,Commerce
41,39,71,37,92,33,Commerce
57,97,52,58,40,79,Arts
48,51,50,37,58,50,Commerce
81,43,39,56,31,100,Commerce
60,33,99,76,62,96,Commerce
82,68,98,39,70,34,Commerce
78,43,73,39,45,57,Arts
80,56,54,60,33,52,Arts
64,92,46,56,94,50,Arts
70,48,84,70,40,48,Arts
97,42,91,86,85,90,Commerce
66,40,71,75,61,36,Arts
31,31,69,43,37,42,Commerce
76,55,65,96,87,72,Arts
48,67,74,54,86,72,Commerce
92,70,34,35,59,63,Commerce
92,69,32,82,59,68,Arts
48,49,65,47,43,36,Commerce
100,93,79,30,41,97,Engineering
86,52,42,70,72,88,Commerce
71,97,42,65,69,36,Commerce
74,70,61,86,36,98,Commerce
80,32,80,60,71,59,Arts
76,39,53,71,42,44,Arts
36,35,72,94,30,41,Commerce
76,57,81,77,69,87,Commerce
80,32,96,64,74,41,Commerce
93,30,63,58,94,62,Arts
73,94,78,82,86,42,Arts
60,52,50,56,45,98,Commerce
62,100,33,72,65,59,Arts
45,77,54,54,47,57,Commerce
66,35,82,76,38,41,Arts
81,68,35,77,39,98,Commerce
47,40,87,75,52,41,Arts
51,79,77,75,54,47,Arts
54,85,82,98,35,80,Medical
33,32,72,42,97,100,Arts
60,75,73,85,39,62,Arts
82,49,73,62,87,56,Arts
83,64,74,100,34,79,Commerce
81,45,30,55,77,54,Arts
98,75,41,44,30,66,Commerce
49,73,56,56,82,57,Commerce
65,100,54,47,49,83,Commerce
69,80,31,74,90,73,Arts
69,36,55,51,74,82,Arts
82,93,78,37,91,90,Commerce
40,89,58,60,35,58,Arts
76,62,53,94,57,70,Arts
94,32,81,71,98,81,Commerce
69,82,94,40,96,44,Arts
71,70,91,77,39,69,Arts
54,79,51,37,73,98,Commerce
99,43,54,30,83,52,Arts
93,37,53,81,96,98,Commerce
43,75,38,85,68,61,Arts
71,96,37,85,57,77,Arts
44,65,82,40,80,89,Arts
61,67,66,64,53,99,Commerce
80,37,49,99,65,34,Arts
45,52,30,80,57,76,Commerce
32,75,71,74,66,32,Commerce
84,45,51,79,92,31,Arts
83,56,63,83,87,75,Arts
80,48,100,67,83,93,Commerce
41,87,39,37,66,82,Commerce
41,51,35,35,36,76,Commerce
95,82,90,91,77,91,Engineering
55,70,34,94,100,41,Commerce
94,93,73,57,52,93,Engineering
49,81,89,87,79,71,Arts
47,46,40,82,83,69,Arts
45,55,92,31,61,34,Commerce
99,45,35,84,93,63,Commerce
99,40,57,39,85,48,Arts
98,30,36,57,79,37,Commerce
68,98,68,95,87,33,Arts
84,60,60,74,35,42,Commerce
42,96,36,58,39,71,Arts
33,45,33,69,30,50,Commerce
33,65,78,55,43,38,Commerce
66,98,37,39,90,64,Arts
82,91,83,30,30,37,Arts
69,86,83,54,90,99,Commerce
47,44,88,68,68,90,Arts
41,61,63,83,97,94,Arts
61,65,46,33,51,37,Commerce
76,91,35,90,96,72,Arts
69,51,74,76,71,45,Commerce
78,93,91,55,34,98,Engineering
87,42,60,56,54,97,Commerce
50,33,34,87,83,57,Arts
44,32,33,62,72,45,Commerce
50,88,75,73,42,37,Commerce
68,70,34,70,66,56,Arts
73,79,95,51,33,75,Arts
64,48,94,79,31,88,Commerce
93,90,60,83,59,47,Arts
90,97,38,89,69,78,Commerce
87,67,89,58,50,35,Commerce
96,58,85,88,94,68,Arts
56,93,32,33,93,82,Commerce
47,72,42,44,83,66,Commerce
53,48,91,84,30,93,Arts
57,67,87,89,32,70,Arts
83,32,53,35,41,48,Commerce
75,50,93,69,80,80,Arts
68,80,76,87,35,41,Arts
41,96,98,82,38,46,Arts
52,43,93,82,51,80,Commerce
96,61,64,96,75,62,Arts
35,63,43,30,38,90,Arts
75,68,41,54,53,62,Commerce
83,65,41,54,46,81,Commerce
73,35,40,60,47,42,Arts
47,99,34,42,87,49,Arts
59,40,57,36,42,98,Commerce
91,70,78,54,80,88,Commerce
91,86,38,36,38,80,Commerce
100,70,88,60,59,32,Engineering
46,77,50,59,76,61,Arts
100,65,100,90,93,40,Engineering
71,49,45,86,95,61,Arts
46,43,36,56,98,67,Arts
92,39,60,75,93,38,Arts
43,92,73,82,70,93,Arts
90,84,30,100,54,34,Commerce
85,40,72,55,55,72,Arts
80,89,40,65,47,43,Arts
36,69,82,51,77,38,Arts
66,99,78,64,86,74,Arts
51,83,40,48,40,89,Arts
66,88,81,87,42,65,Arts
43,56,90,70,34,51,Arts
44,74,49,69,63,85,Commerce
82,91,46,48,73,84,Commerce
36,37,59,100,83,70,Arts
99,55,74,50,87,91,Commerce
67,85,43,77,72,96,Commerce
62,30,46,48,80,85,Arts
42,50,46,42,74,53,Commerce
87,52,42,80,56,60,Commerce
98,65,41,79,97,92,Commerce
31,30,50,45,73,50,Arts
60,38,46,50,96,34,Commerce
44,84,53,100,56,74,Commerce
68,40,56,52,82,42,Commerce
31,54,51,96,46,34,Commerce
76,97,44,100,52,38,Commerce
59,48,58,50,93,39,Arts
59,100,99,96,30,30,Medical
98,69,89,50,42,52,Engineering
32,56,56,72,88,96,Arts
37,53,57,67,55,38,Commerce
62,85,45,84,43,31,Arts
58,54,82,94,82,66,Arts
53,89,78,43,32,42,Arts
92,43,78,37,38,89,Commerce
47,60,67,83,100,43,Commerce
94,33,60,36,84,36,Commerce
95,58,95,83,58,97,Engineering
85,39,96,61,31,59,Arts
95,79,94,80,96,48,Engineering
77,32,87,85,100,66,Arts
61,32,94,72,77,60,Arts
47,30,54,91,44,48,Commerce
92,56,35,44,86,87,Commerce
97,89,91,44,59,95,Engineering
54,67,53,84,93,86,Arts
52,97,64,57,73,100,Commerce
35,58,97,60,84,53,Arts
58,91,51,58,79,75,Arts
55,93,93,82,52,72,Arts
61,75,47,38,48,34,Arts
53,54,41,100,44,47,Arts
58,66,59,98,91,71,Arts
70,96,68,44,51,57,Commerce
81,42,33,74,55,61,Commerce
74,95,30,30,96,44,Arts
43,43,80,70,39,54,Commerce
67,65,74,61,60,52,Commerce
57,47,95,38,49,70,Commerce
33,40,42,46,44,35,Commerce
92,42,36,49,45,100,Commerce
90,53,31,96,65,97,Commerce
66,63,44,68,69,35,Commerce
58,87,42,92,42,44,Arts
54,80,93,97,94,86,Medical
98,66,33,68,39,39,Arts
84,84,100,76,66,75,Engineering
52,30,92,89,81,70,Commerce
31,47,67,42,72,91,Commerce
53,43,67,31,73,88,Arts
84,50,68,79,54,64,Arts
52,97,67,67,89,79,Arts
69,42,38,64,69,58,Commerce
44,41,67,61,91,50,Arts
93,32,78,77,75,36,Commerce
30,89,63,42,31,63,Arts
89,99,56,36,94,55,Arts
81,98,71,90,37,74,Arts
84,93,50,64,55,97,Commerce
30,30,56,47,33,55,Commerce
71,80,65,68,58,79,Arts
46,50,64,30,82,40,Commerce
62,99,60,46,57,38,Commerce
100,63,55,81,42,85,Commerce
63,62,69,54,69,31,Commerce
38,95,58,45,30,51,Commerce
30,47,36,76,87,93,Commerce
71,65,66,99,80,45,Arts
62,59,37,66,35,53,Commerce
100,95,45,92,94,85,Engineering
95,87,62,46,47,66,Commerce
81,37,73,49,100,87,Commerce
36,82,77,92,87,70,Arts
70,40,85,37,33,49,Arts
95,79,61,76,85,75,Commerce
83,68,77,55,52,89,Commerce
68,81,51,94,81,100,Commerce
35,99,94,95,32,98,Medical
75,64,54,80,81,75,Arts
85,39,67,90,34,88,Commerce
84,40,66,79,74,68,Arts
49,41,32,31,94,72,Commerce
95,72,78,47,66,76,Engineering
39,90,46,36,91,50,Commerce
69,41,82,31,49,98,Commerce
99,98,89,72,63,96,Engineering
82,70,97,82,42,83,Commerce
70,91,91,37,58,48,Commerce
71,94,82,42,63,87,Commerce
95,76,76,69,79,44,Engineering
78,40,54,45,83,69,Commerce
42,88,59,50,97,52,Arts
55,47,94,69,44,58,Commerce
60,87,47,50,71,37,Arts
40,93,90,85,44,48,Commerce
57,38,65,64,54,54,Arts
30,43,34,66,45,84,Commerce
66,99,74,92,77,77,Arts
54,66,99,64,96,67,Arts
36,84,66,59,95,81,Arts
84,34,50,71,68,86,Commerce
52,47,33,70,79,69,Arts
82,45,65,71,87,76,Arts
97,46,52,70,97,60,Arts
66,82,63,93,54,53,Commerce
94,51,39,41,100,48,Commerce
55,42,37,43,95,73,Commerce
43,82,48,84,87,72,Arts
53,38,37,39,81,82,Arts
72,62,85,70,58,71,Commerce
73,84,71,94,66,34,Arts
88,71,87,64,31,45,Arts
75,38,79,71,100,90,Commerce
94,41,38,38,56,42,Arts
93,37,83,69,68,95,Commerce
67,45,48,50,79,37,Arts
65,53,72,45,41,49,Arts
40,41,48,78,98,43,Commerce
64,63,47,83,56,55,Commerce
81,40,99,48,81,73,Arts
37,92,78,79,47,88,Arts
98,74,89,79,31,82,Engineering
53,100,44,46,43,46,Commerce
91,73,39,58,85,35,Arts
35,36,98,77,96,58,Arts
89,60,93,73,47,46,Arts
62,54,60,88,69,76,Commerce
83,67,94,98,35,48,Arts
83,61,95,49,68,51,Commerce
69,45,32,75,58,40,Commerce
93,43,89,60,47,81,Commerce
58,65,54,96,52,51,Commerce
33,35,99,91,41,30,Commerce
